City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
lardos,GR,36.09,28.02,87.8,52,0,18.34,1595434134
road town,VG,18.42,-64.62,87.8,66,40,11.41,1595434134
provideniya,RU,64.38,-173.3,49.84,70,0,3.91,1595433922
manggar,ID,-2.88,108.27,80.87,83,97,10.51,1595434135
sijunjung,ID,-0.69,100.95,71.89,91,100,1.92,1595434135
lebu,CL,-37.62,-73.65,53.31,68,68,4.74,1595434135
muli,MV,2.92,73.57,83.97,73,40,13.47,1595434135
san cristobal,VE,7.77,-72.22,84.2,58,40,9.17,1595434135
fairbanks,US,64.84,-147.72,51.8,93,90,3.36,1595433945
fayaoue,NC,-20.65,166.53,70.07,72,57,22.66,1595434136
vila franca do campo,PT,37.72,-25.43,71.6,60,75,6.93,1595434002
georgetown,MY,5.41,100.34,78.8,94,40,2.1,1595434136
rikitea,PF,-23.12,-134.97,67.1,57,100,13.31,1595433969
punta arenas,CL,-53.15,-70.92,26.01,100,75,6.93,1595434136
albany,US,42.6,-73.97,82.99,62,56,3.83,1595433935
progreso,MX,21.28,-89.67,91.99,70,75,6.93,1595434137
batken,KG,39.83,71,63.36,37,1,2.35,1595434137
butaritari,KI,3.07,172.79,82.83,76,13,13.73,1595433973
saint-philippe,RE,-21.36,55.77,68,64,90,6.93,1595433931
puerto ayora,EC,-0.74,-90.35,73.4,73,75,13.87,1595434137
torbay,CA,47.67,-52.73,77,49,40,21.92,1595433950
krasnoselkup,RU,65.7,82.47,58.08,85,61,15.12,1595434137
vaini,TO,-21.2,-175.2,59,100,20,2.24,1595433933
castro,BR,-24.79,-50.01,73.47,48,58,6.64,1595433941
ushuaia,AR,-54.8,-68.3,32,77,95,4.7,1595433974
edd,ER,13.93,41.69,90.19,57,100,4.92,1595433986
zeya,RU,53.75,127.27,59.02,68,3,4.38,1595434138
novokayakent,RU,42.39,47.99,84.2,45,20,8.95,1595434138
barrow,US,71.29,-156.79,33.8,87,90,6.93,1595433934
hithadhoo,MV,-0.6,73.08,84.22,72,18,9.82,1595434104
hofn,IS,64.25,-15.21,57.2,71,75,10.29,1595434139
ligayan,PH,4.65,119.47,85.19,70,32,6.98,1595434139
talnakh,RU,69.49,88.4,59,62,0,20.13,1595434139
ponta do sol,PT,32.67,-17.1,71.01,68,1,1.63,1595434139
kaitangata,NZ,-46.28,169.85,37,73,74,15.01,1595433976
kamenka,RU,51.32,42.77,75,71,61,7.25,1595433988
mataura,NZ,-46.19,168.86,39,83,95,3,1595434140
qaanaaq,GL,77.48,-69.36,47.43,53,5,5.66,1595434140
new norfolk,AU,-42.78,147.06,43,83,96,3.2,1595433975
cape town,ZA,-33.93,18.42,62.01,77,0,10.29,1595434137
la ronge,CA,55.1,-105.28,68,82,75,6.93,1595434140
santona,ES,43.44,-3.46,73.99,78,90,3.36,1595434141
hobart,AU,-42.88,147.33,45,75,86,8.05,1595434141
necochea,AR,-38.55,-58.74,48.99,92,100,15.99,1595433984
cabo san lucas,MX,22.89,-109.91,89.01,69,5,11.41,1595433938
kapaa,US,22.08,-159.32,73.4,94,90,9.17,1595433922
clonakilty,IE,51.62,-8.87,71.01,68,40,16.11,1595434141
avarua,CK,-21.21,-159.78,75.2,94,11,12.75,1595434142
